ID,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
404,HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,69267,0,0,0,0,0
405,DELL,Inspiron,Intel,Core i3,10th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,44690,60122,25,4.3,9,0
406,DELL,Inspiron,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,71090,89849,20,4.1,44,6
407,HP,Spectre,Intel,Core i7,10th,16,DDR4,1024,0,Windows,64,0,Casual,13.3,1,Yes,No,179990,216368,16,4.2,13,5
409,MSI,Katana,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,74990,95990,21,0,0,0
411,DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,44427,0,0,0,0,0
413,MSI,Summit,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,4,Casual,15.6,2,Yes,No,154990,156990,1,4,3,2
415,ASUS,ZenBook,Intel,Core i5,10th,8,LPDDR3,512,0,Windows,64,0,Casual,13.3,1,No,Yes,79990,98990,19,4.4,11,3
417,Lenovo,IdeaPad,Intel,Core i5,10th,8,DDR4,256,1024,Windows,64,4,Gaming,15.6,0,No,No,74590,109990,32,4.4,898,128
418,MSI,Modern,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,55490,67990,18,4.3,138,16
419,ASUS,Vivobook,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,Casual,14,1,No,No,35990,46990,23,0,0,0
420,acer,Aspire,Intel,Core i5,8th,8,DDR4,0,1024,Windows,64,2,Casual,15.6,1,No,Yes,59999,62511,4,4.1,118,28
421,Lenovo,Yoga,Intel,Core i7,11th,16,LPDDR4X,1024,0,Windows,64,0,Casual,13.3,1,No,Yes,122990,167890,26,3,4,2
422,DELL,Vostro,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,2,ThinNlight,14,1,No,Yes,66490,87168,23,4.1,199,17
423,ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,53400,69500,23,4.1,46,6
425,acer,Predator,Intel,Core i7,10th,16,DDR4,2048,0,Windows,64,8,Casual,15.6,1,No,No,159990,160190,0,3.8,4,0
427,HP,Pavilion,Intel,Core i7,11th,16,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,90190,107262,15,4.3,6,1
